# Wall heat-flux
# Time        	patch         	min           	max           	integral      
155           	walls	1.000000e+02	1.000000e+02	7.536378e+00
156           	walls	1.000000e+02	1.000000e+02	7.536378e+00
157           	walls	1.000000e+02	1.000000e+02	7.536378e+00
158           	walls	1.000000e+02	1.000000e+02	7.536378e+00
159           	walls	1.000000e+02	1.000000e+02	7.536378e+00
160           	walls	1.000000e+02	1.000000e+02	7.536378e+00
161           	walls	1.000000e+02	1.000000e+02	7.536378e+00
162           	walls	1.000000e+02	1.000000e+02	7.536378e+00
163           	walls	1.000000e+02	1.000000e+02	7.536378e+00
164           	walls	1.000000e+02	1.000000e+02	7.536378e+00
165           	walls	1.000000e+02	1.000000e+02	7.536378e+00
166           	walls	1.000000e+02	1.000000e+02	7.536378e+00
167           	walls	1.000000e+02	1.000000e+02	7.536378e+00
168           	walls	1.000000e+02	1.000000e+02	7.536378e+00
169           	walls	1.000000e+02	1.000000e+02	7.536378e+00
170           	walls	1.000000e+02	1.000000e+02	7.536378e+00
171           	walls	1.000000e+02	1.000000e+02	7.536378e+00
172           	walls	1.000000e+02	1.000000e+02	7.536378e+00
173           	walls	1.000000e+02	1.000000e+02	7.536378e+00
174           	walls	1.000000e+02	1.000000e+02	7.536378e+00
175           	walls	1.000000e+02	1.000000e+02	7.536378e+00
176           	walls	1.000000e+02	1.000000e+02	7.536378e+00
177           	walls	1.000000e+02	1.000000e+02	7.536378e+00
178           	walls	1.000000e+02	1.000000e+02	7.536378e+00
179           	walls	1.000000e+02	1.000000e+02	7.536378e+00
180           	walls	1.000000e+02	1.000000e+02	7.536378e+00
181           	walls	1.000000e+02	1.000000e+02	7.536378e+00
182           	walls	1.000000e+02	1.000000e+02	7.536378e+00
183           	walls	1.000000e+02	1.000000e+02	7.536378e+00
184           	walls	1.000000e+02	1.000000e+02	7.536378e+00
185           	walls	1.000000e+02	1.000000e+02	7.536378e+00
186           	walls	1.000000e+02	1.000000e+02	7.536378e+00
187           	walls	1.000000e+02	1.000000e+02	7.536378e+00
188           	walls	1.000000e+02	1.000000e+02	7.536378e+00
189           	walls	1.000000e+02	1.000000e+02	7.536378e+00
190           	walls	1.000000e+02	1.000000e+02	7.536378e+00
191           	walls	1.000000e+02	1.000000e+02	7.536378e+00
192           	walls	1.000000e+02	1.000000e+02	7.536378e+00
