# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   
96            	smoothSolver	9.339560e-04	7.723080e-05	2	9.338210e-04	7.720700e-05	2	6.528790e-04	5.369500e-05	2	false
97            	smoothSolver	9.105150e-04	7.529220e-05	2	9.104000e-04	7.526990e-05	2	6.379990e-04	5.250260e-05	2	false
98            	smoothSolver	8.876380e-04	7.346010e-05	2	8.875300e-04	7.343830e-05	2	6.235550e-04	5.134560e-05	2	false
99            	smoothSolver	8.647080e-04	7.168240e-05	2	8.646270e-04	7.166180e-05	2	6.095640e-04	5.022330e-05	2	false
100           	smoothSolver	8.421070e-04	6.993480e-05	2	8.420090e-04	6.991380e-05	2	5.959930e-04	4.913840e-05	2	false
101           	smoothSolver	8.207970e-04	6.822580e-05	2	8.206520e-04	6.820150e-05	2	5.828120e-04	4.809360e-05	2	false
102           	smoothSolver	8.008750e-04	6.655360e-05	2	8.007820e-04	6.653430e-05	2	5.699960e-04	4.710980e-05	2	false
103           	smoothSolver	7.819740e-04	6.490930e-05	2	7.819010e-04	6.489290e-05	2	5.576080e-04	4.616630e-05	2	false
104           	smoothSolver	7.634320e-04	6.327610e-05	2	7.633270e-04	6.325690e-05	2	5.456790e-04	4.525020e-05	2	false
105           	smoothSolver	7.447510e-04	6.163570e-05	2	7.446770e-04	6.161930e-05	2	5.343580e-04	4.436130e-05	2	false
106           	smoothSolver	7.260280e-04	6.000930e-05	2	7.259080e-04	5.998970e-05	2	5.236860e-04	4.350170e-05	2	false
107           	smoothSolver	7.072180e-04	5.841800e-05	2	7.071750e-04	5.840540e-05	2	5.133420e-04	4.266960e-05	2	false
108           	smoothSolver	6.886580e-04	5.687510e-05	2	6.885880e-04	5.685920e-05	2	5.033210e-04	4.186190e-05	2	false
109           	smoothSolver	6.710470e-04	5.541470e-05	2	6.709430e-04	5.539720e-05	2	4.935880e-04	4.107730e-05	2	false
110           	smoothSolver	6.537990e-04	5.404010e-05	2	6.537090e-04	5.402310e-05	2	4.841190e-04	4.031460e-05	2	false
111           	smoothSolver	6.360120e-04	5.270600e-05	2	6.359530e-04	5.269190e-05	2	4.749150e-04	3.957480e-05	2	false
112           	smoothSolver	6.185760e-04	5.140140e-05	2	6.185080e-04	5.138540e-05	2	4.659770e-04	3.886320e-05	2	false
113           	smoothSolver	6.025880e-04	5.011470e-05	2	6.024900e-04	5.009780e-05	2	4.572870e-04	3.819010e-05	2	false
114           	smoothSolver	5.878270e-04	4.887920e-05	2	5.877470e-04	4.886270e-05	2	4.488960e-04	3.756280e-05	2	false
115           	smoothSolver	5.738380e-04	4.770060e-05	2	5.737940e-04	4.768810e-05	2	4.408710e-04	3.695620e-05	2	false
116           	smoothSolver	5.603400e-04	4.656630e-05	2	5.603140e-04	4.655550e-05	2	4.332850e-04	3.636910e-05	2	false
117           	smoothSolver	5.470820e-04	4.542880e-05	2	5.469960e-04	4.541290e-05	2	4.262450e-04	3.580020e-05	2	false
118           	smoothSolver	5.339510e-04	4.428800e-05	2	5.338360e-04	4.427030e-05	2	4.194090e-04	3.524690e-05	2	false
119           	smoothSolver	5.208230e-04	4.316530e-05	2	5.207490e-04	4.315210e-05	2	4.127650e-04	3.471090e-05	2	false
120           	smoothSolver	5.079350e-04	4.206850e-05	2	5.078790e-04	4.205610e-05	2	4.063060e-04	3.419840e-05	2	false
121           	smoothSolver	4.955840e-04	4.102310e-05	2	4.955680e-04	4.101380e-05	2	4.000310e-04	3.371960e-05	2	false
122           	smoothSolver	4.830560e-04	4.000860e-05	2	4.830120e-04	3.999650e-05	2	3.940270e-04	3.327490e-05	2	false
123           	smoothSolver	4.700470e-04	3.899500e-05	2	4.699390e-04	3.897860e-05	2	3.883080e-04	3.284560e-05	2	false
124           	smoothSolver	4.573110e-04	3.797360e-05	2	4.572850e-04	3.796300e-05	2	3.830050e-04	3.242870e-05	2	false
125           	smoothSolver	4.454590e-04	3.697320e-05	2	4.454190e-04	3.696250e-05	2	3.780310e-04	3.202610e-05	2	false
126           	smoothSolver	4.341320e-04	3.601750e-05	2	4.340730e-04	3.600610e-05	2	3.731990e-04	3.164420e-05	2	false
127           	smoothSolver	4.233160e-04	3.511480e-05	2	4.232530e-04	3.510230e-05	2	3.685160e-04	3.129510e-05	2	false
128           	smoothSolver	4.129190e-04	3.424430e-05	2	4.129000e-04	3.423570e-05	2	3.640680e-04	3.096800e-05	2	false
